treeName,Year
Ef_aus0002,1998
Ef_aus0004,1998
Ef_aus0006,1999
Ef_aus0007,1999
Ef_aus0010,2000
Ef_aus0012,2000
Ef_aus0013,2001
Ef_aus0015,2002
Ef_aus0016,2003
Ef_aus0018,2003
Ef_aus0019,2004
Ef_aus0021,2004
Ef_aus0028,2005
Ef_aus0029,2005
Ef_aus0030,2005
Ef_aus0031,2005
Ef_aus0038,2006
Ef_aus0039,2006
Ef_aus0040,2006
Ef_aus0041,2006
Ef_aus0045,2007
Ef_aus0048,2007
Ef_aus0050,2007
Ef_aus0051,2007
Ef_aus0053,2007
Ef_aus0055,2007
Ef_aus0056,2007
Ef_aus0057,2007
Ef_aus0063,2008
Ef_aus0064,2008
Ef_aus0065,2008
Ef_aus0068,2008
Ef_aus0069,2008
Ef_aus0070,2008
Ef_aus0071,2008
Ef_aus0072,2008
Ef_aus0073,2008
Ef_aus0075,2008
Ef_aus0077,2008
Ef_aus0078,2008
Ef_aus0080,2008
Ef_aus0081,2009
Ef_aus0084,2009
Ef_aus0085,2009
Ef_aus0086,2009
Ef_aus0087,2009
Ef_aus0088,2009
Ef_aus0090,2009
Ef_aus0091,2009
Ef_aus0092,1999
Ef_aus0093,2009
Ef_aus0094,2009
Ef_aus0095,2009
Ef_aus0096,2009
Ef_aus0098,2003
Ef_aus0100,2000
Ef_aus0101,2000
Ef_aus0149,2009
Ef_RPH1,2010
Ef_RPH2,2010
Ef_RPH3,2010
Ef_928,2009
Ef_755,2009
Ef_1_231_502,2000
Ef_DO,1992
